"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","DECIMALS_DISPLAYED","FUNCTIONAL_CAT","INT_ACC_ITEM","NA_STO","GFS_STO","COICOP_1999","TRADE_FLOW","COMMODITY","SOC_CONCEPTS","SECTOR","ACCOUNTING_ENTRY","INDEX_TYPE","PRICES","VALUATION","STATISTICAL_MEASURES","EXRATE","TRANSFORMATION","UNIT","REPORTING_PERIOD_TYPE","OVERLAP","LATEST_ACTUAL_ANNUAL_DATA","TOPIC","KEYWORDS","METHODOLOGY","METHODOLOGY_NOTES","KEY_INDICATOR","SERIES_NAME","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.RES:WEO(6.0.0)","BRA.LUR.A","OBS_VALUE","Brazil","Unemployment rate","Annual","Units","","","","","","","","","Unemployment rate","","","","","","Rate","","","","","Overlapping Indicator","2024","Unemployment","","","Source: National Statistics Office. Annual historical unemployment rates show annual averages. Latest actual data: 2024 Employment type: National definition Primary domestic currency: Brazilian real Data last updated: 04/08/2025","true","Unemployment rate","8.034","7.58","6.9","7.225","6.9","8.625","11.65","12.85","12.375","11.975","13.775","13.2","9.25","7.975","6.925"
"IMF.RES:WEO(6.0.0)","BRA.GGXWDG_NGDP.A","OBS_VALUE","Brazil","Gross debt, General government, Percent of GDP","Annual","Units","","","","","Gross debt","","","","","General government","","","","","","","","Percent","","Overlapping Indicator","2023","Fiscal sector","","Government Finance Statistics (GFS)","See notes for:  General government gross debt (National currency).","","Gross debt, General government, Percent of GDP","62.433","60.634","61.614","59.595","61.617","71.73","77.422","82.745","84.777","87.118","96.007","88.934","83.939","84.001","87.284"
"IMF.RES:WEO(6.0.0)","USA.GGXWDG_NGDP.A","OBS_VALUE","United States","Gross debt, General government, Percent of GDP","Annual","Units","","","","","Gross debt","","","","","General government","","","","","","","","Percent","","Overlapping Indicator","2024","Fiscal sector","","Government Finance Statistics (GFS)","See notes for:  General government gross debt (National currency).","","Gross debt, General government, Percent of GDP","95.347","99.681","103.244","104.522","104.429","104.854","106.78","105.728","107.041","108.197","132.032","124.716","118.806","118.998","120.786"
"IMF.RES:WEO(6.0.0)","DEU.GGXWDG_NGDP.A","OBS_VALUE","Germany","Gross debt, General government, Percent of GDP","Annual","Units","","","","","Gross debt","","","","","General government","","","","","","","","Percent","","Overlapping Indicator","2024","Fiscal sector","","Government Finance Statistics (GFS)","See notes for:  General government gross debt (National currency).","","Gross debt, General government, Percent of GDP","81.009","78.458","79.804","77.435","74.52","71.216","68.282","64.026","60.809","58.701","68.035","68.077","64.997","62.878","63.888"
"IMF.RES:WEO(6.0.0)","IND.LUR.A","OBS_VALUE","India","Unemployment rate","Annual","Units","","","","","","","","","Unemployment rate","","","","","","Rate","","","","","Overlapping Indicator","2024","Unemployment","","","Source: National Statistics Office. IMF staff calculations based on Current Weekly Status reported in the Periodic Labour Force Survey (PLFS) since 2018/19. Before 2018/19, the growth rate in employment is assumed to be equal to the growth rate in the number of persons employed in the RBI s Latest actual data: FY2023/24. Latest quarterly data is as of June 2024 (for the first quarter of FY2024/25) Employment type: Not applicable Primary domestic currency: Indian rupee Data last updated: 04/08/2025","true","Unemployment rate","","","","","","","","","8.901","7.484","8.662","7.365","5.3","4.939","4.939"
"IMF.RES:WEO(6.0.0)","ZAF.GGXWDG_NGDP.A","OBS_VALUE","South Africa","Gross debt, General government, Percent of GDP","Annual","Units","","","","","Gross debt","","","","","General government","","","","","","","","Percent","","Overlapping Indicator","2024","Fiscal sector","","Government Finance Statistics (GFS)","See notes for:  General government gross debt (National currency).","","Gross debt, General government, Percent of GDP","31.185","34.742","37.408","40.356","43.253","45.195","47.134","48.588","51.536","56.101","68.927","68.672","70.832","73.363","76.356"
"IMF.RES:WEO(6.0.0)","BRA.NGDP_RPCH.A","OBS_VALUE","Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","","","","Gross domestic product (GDP)","","","","","","","","","Constant prices","","","","","Percent","","Overlapping Indicator","2024","Gross domestic product (GDP)","Real GDP","National Accounts Statistics (SNA)","See notes for:  Gross domestic product, constant prices (National currency).","true","Gross domestic product (GDP), Constant prices, Percent change","7.528","3.974","1.921","3.005","0.504","-3.546","-3.276","1.323","1.784","1.221","-3.277","4.763","3.017","3.242","3.396"
"IMF.RES:WEO(6.0.0)","DEU.PCPIPCH.A","OBS_VALUE","Germany","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","","","","","","","","","","","","Consumer price index (CPI)","","","","","","Percent","","Overlapping Indicator","2024","Consumer prices","","Consumer Price Statistics","See notes for:  Inflation, average consumer prices (Index).","","All Items, Consumer price index (CPI), Period average, percent change","1.119","2.482","2.159","1.607","0.769","0.68","0.367","1.702","1.935","1.354","0.371","3.212","8.666","6.03","2.489"
"IMF.RES:WEO(6.0.0)","DEU.LUR.A","OBS_VALUE","Germany","Unemployment rate","Annual","Units","","","","","","","","","Unemployment rate","","","","","","Rate","","","","","Overlapping Indicator","2024","Unemployment","","","Source: National Statistics Office Latest actual data: 2024 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/11/2025","true","Unemployment rate","6.575","5.517","5.083","4.95","4.708","4.367","3.908","3.567","3.208","2.975","3.625","3.575","3.067","3.025","3.408"
"IMF.RES:WEO(6.0.0)","DEU.NGDP_RPCH.A","OBS_VALUE","Germany","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","","","","Gross domestic product (GDP)","","","","","","","","","Constant prices","","","","","Percent","","Overlapping Indicator","2024","Gross domestic product (GDP)","Real GDP","National Accounts Statistics (SNA)","See notes for:  Gross domestic product, constant prices (National currency).","true","Gross domestic product (GDP), Constant prices, Percent change","4.147","3.764","0.469","0.386","2.172","1.656","2.289","2.713","1.116","0.993","-4.1","3.67","1.367","-0.264","-0.232"
